"Плей-лист на СУББОТА, 16.05.2015 г. Перец Европа",,,,,,,,,,
"Источник, логотип",Время выхода в эфир,Название передачи,Хронометраж,Таймкод начальный,Таймкод конечный,Номер эфирной кассеты,GPO,Аудит,Тип рекламы,Б/С
Лого ДА,08:23:11:09,КАРЛСОН ВЕРНУЛСЯ титр2/00:00:00:00/00:00:08:00/P_00.tga,00:19:08:16,01:18:40:18,01:37:49:09,PR_121013802,"GR014
00:00:00:00/00:00:08:00",0+,,00:00:08:00/00:19:00:16
Лого ДА,08:42:20:00,ID_PERETZ_NEW_STONE_5_REG_STR,00:00:05:00,00:00:00:00,00:00:05:00,PGR_0019_STR,_STR,,,
Лого ДА,08:42:25:00,Colgate Total  Colgate Total_2015_15,00:00:15:00,00:00:00:00,00:00:15:00,485756,,,КРП,
Лого ДА,08:42:40:00,Renault Sandero  В ритме элементов May 2015,00:00:30:00,00:00:00:00,00:00:30:00,500532,,,КРП,
Лого ДА,08:43:10:00,Напитки из Черноголовки  Тархун.2015,00:00:10:00,00:00:00:00,00:00:10:00,501286,,,КРП,
Лого ДА,08:43:20:00,Colgate SAN  Colgate SAN_2015_20,00:00:20:00,00:00:00:00,00:00:20:00,493063,,,КРП,
Лого ДА,08:43:40:00,ID_PERETZ_NEW_5_ENR,00:00:05:00,00:00:00:00,00:00:05:00,PGR_0030_ENR,_ENR,,,
Лого ДА,08:43:45:00,9MАЯ_КУРЕНИЕ,00:00:05:00,00:00:00:00,00:00:05:00,GRF_0054,,,,
Лого ДА,08:43:50:00,ВОЙНА НА ЗАПАДНОМ НАПРАВЛЕНИИ 001-я серия. ВЗОРВАННЫЙ МИР (начало) титр2/00:00:00:00/00:00:08:00/P_00.tga титр4/00:03:08:00/00:00:08:00/GS_S15.tga,00:07:00:09,00:00:00:00,00:07:00:09,PR_121038880,"GR015
00:00:00:00/00:00:08:00
00:03:08:00/00:00:08:00",0+,,"00:00:08:00/00:03:00:00
00:03:16:00/00:03:44:09"
Лого ДА,08:50:50:09,ГолубСтрела.16мая_Сег15_30,00:00:30:00,00:00:00:00,00:00:30:00,VAN002809,,,,
Лого ДА,08:51:20:09,ID_PERETZ_NEW_CLAY _REKL_5_STF,00:00:05:00,00:00:00:00,00:00:05:00,PGR_0049_STF,_STF,,,
Лого ДА,08:51:25:09,КФС  Лонгер - мальчик,00:00:15:00,00:00:00:00,00:00:15:00,495443,,,КР,
Лого ДА,08:51:40:09,Мегафон  Мегафон-Качество,00:00:40:00,00:00:00:00,00:00:40:00,501371,,,КР,
Лого ДА,08:52:20:09,Фенистил  Горилла NR15FN0374,00:00:20:00,00:00:00:00,00:00:20:00,497837,,,КР,
Лого ДА,08:52:40:09,Deo Men  Black&White Male 15,00:00:15:00,00:00:00:00,00:00:15:00,500623,,,КР,
Лого ДА,08:52:55:09,Bayer_2015  Бепантен Плюс 20 апрель,00:00:20:00,00:00:00:00,00:00:20:00,485804,,,КР,
Лого ДА,08:53:15:09,Эльдорадо 2015  5m 20 week Tricolor,00:00:15:00,00:00:00:00,00:00:15:00,503054,,,КР,
